full_title;link;location;start_day;start_month;start_year;end_day;end_month;end_year;tags;site;cd_day;cd_month;cd_year
American Name Society;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336816;New York, NY;3;0;2019;6;0;2019;Anthropological Linguistics, Discourse Analysis, Lexicography, Sociolinguistics, Text/Corpus Linguistics;None;15;7;2018
Bilingualism in the Hispanic and Lusophone World;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334816;Leiden;9;0;2019;11;0;2019;Applied Linguistics, General Linguistics, Language Acquisition, Psycholinguistics, Sociolinguistics;https://bhl2019.wordpress.com/call-for-papers/;10;8;2018
CLIN 29: Computational Linguistics in The Netherlands;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345656;Groningen;31;0;2019;31;0;2019;Computational Linguistics;http://www.let.rug.nl/clin29/;15;10;2018
Community-based Language Research across the Americas;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336996;New York, NY;2;0;2019;3;0;2019;Anthropological Linguistics, Applied Linguistics, General Linguistics, Language Documentation;https://sites.google.com/view/cblraa2019-eng;31;11;2018
Computer-Assisted Literary Translation workshop;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352796;Swansea;25;0;2019;26;0;2019;Computational Linguistics, Ling &amp, Literature, Text/Corpus Linguistics, Translation;https://tinyurl.com/CALTswansea;10;11;2018
Conference On Asian Linguistic Anthropology 1;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=301076;Siem Reap;23;0;2019;26;0;2019;Anthropological Linguistics, Sociolinguistics;http://cala2019.puc.edu.kh;30;5;2018
Experimental Approaches to Cross-linguistic Variation in Island Phenomena;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326676;New York, New York;3;0;2019;7;0;2019;Psycholinguistics, Syntax;None;9;4;2018
Fifth International Workshop for Computational Linguistics of Uralic Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338496;Tartu;7;0;2019;8;0;2019;Computational Linguistics;https://sisu.ut.ee/iwclul2019;9;10;2018
Fifth National Language Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349456;Cuttack, Odisha,;19;0;2019;21;0;2019;Anthropological Linguistics, Applied Linguistics, Computational Linguistics, Sociolinguistics, Translation;https://sites.google.com/view/nlc5/;25;10;2018
First(!) Annual Meeting of the North American Research Network in Historical Sociolinguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332436;New York City;5;0;2019;5;0;2019;Historical Linguistics, Sociolinguistics;http://narnihs.org/;3;8;2018
Fremdsprachenlehrwerke in der FrØÄhen Neuzeit: Perspektiven ‚«í Potentiale ‚«í Herausforderungen;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331036;Berlin;21;0;2019;22;0;2019;Historical Linguistics, Morphology, Pragmatics, Sociolinguistics;http://www.sfb-episteme.de/veranstaltungen/Vorschau/2019/C08-sprachlehrbuecher.html;1;8;2018
Hybrid/Paradoxal Representations of Gender and Sexuality;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338356;Siem Reap;23;0;2019;26;0;2019;Anthropological Linguistics, Sociolinguistics;None;25;9;2018
Interdisciplinary Conference on the Prehistory of Transeurasian Millets and Beans, Languages and Genes;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342896;Jena, Thuringia;8;0;2019;11;0;2019;Historical Linguistics;None;None;None;None
International Perspectives on Assessing World Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346976;Cairo;30;0;2019;31;0;2019;Applied Linguistics;http://conf.aucegypt.edu/IPAWL;15;10;2018
JALT Hokkaido Winter Language Teaching Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340376;Sapporo, Hokkaido;26;0;2019;27;0;2019;Applied Linguistics, Language Acquisition;https://www.facebook.com/events/2170228596553818/;4;10;2018
Language and Post-queer Sexuality in East Asia;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338376;Siem Reap;23;0;2019;26;0;2019;Anthropological Linguistics, Sociolinguistics;None;25;9;2018
L'apprenant en langues et dans les mØ©tiers de la traduction : source d'interrogations et de perspectives / Language learners and learning in the language and translation professions: questions pending and future avenues to explore;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325356;Rennes;31;0;2019;2;1;2019;Applied Linguistics, Language Acquisition, Translation;https://apprenant.sciencesconf.org/;15;7;2018
Las categorØ_as gramaticales. Relaciones y diferencias, treinta aØ±os despuØ©s;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347916;Madrid;30;0;2019;2;1;2019;Morphology, Semantics, Syntax;http://www.sel.edu.es/categor%C3%ADas-gramaticales-2019;30;9;2018
L‚«∏Ø©pilinguistique et le mØ©talinguistique en linguistique Ø©nonciative;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335436;Paris Est-Marne La VallØ©e;17;0;2019;18;0;2019;General Linguistics, Language Acquisition, Linguistic Theories, Text/Corpus Linguistics;None;10;8;2018
Linguistics and its Historical Forms of Organization and Production;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328316;Paris;24;0;2019;26;0;2019;History of Linguistics;https://shesl-htl2019.sciencesconf.org/;30;5;2018
Linguistic Society of America 93rd Annual Meeting;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329876;New York, NY;3;0;2019;6;0;2019;General Linguistics;https://www.linguisticsociety.org/event/lsa-2019-annual-meeting;31;6;2018
Modern Language Association: Selected Topics in Romance Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317056;Chicago, IL;3;0;2019;6;0;2019;General Linguistics, Historical Linguistics;None;15;2;2018
Particles in German, English and Beyond;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345396;SaarbrØÄcken (Saarland University);21;0;2019;22;0;2019;Historical Linguistics, Morphology, Phonology, Semantics, Syntax;http://pragmatics.uni-saarland.de/particles/;19;10;2018
Secrets of Success. Or: How to preserve a Verb Second word order?;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345916;Oslo;10;0;2019;11;0;2019;General Linguistics, Historical Linguistics, Syntax;https://www.hf.uio.no/ilos/english/research/projects/traces-of-history/secrets-of-success---workshop-january-2018/;9;10;2018
Society for Computation in Linguistics Second Meeting;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328816;New York, NY;3;0;2019;6;0;2019;Computational Linguistics;https://blogs.umass.edu/scil/;1;7;2018
Society for Pidgin and Creole Linguistics - Winter Conference 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334436;New York;3;0;2019;6;0;2019;General Linguistics;None;31;7;2018
Spatial Patterns of Language Evolution;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341176;Zurich;24;0;2019;24;0;2019;Genetic Classification, Historical Linguistics;None;15;10;2018
Teaching General Linguistics Classes - LSA Special Session;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327696;New York, NY;3;0;2019;6;0;2019;Discipline of Linguistics, General Linguistics;None;10;4;2018
The 9th International Conference on Han Characters Education and Research;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340396;Ho Chi Minh City University of Education, Vietnam;19;0;2019;21;0;2019;Applied Linguistics, General Linguistics, Language Acquisition, Ling &amp, Literature, Writing Systems;http://www.cacler.hku.hk/hk/news-events/the-9th-international-conference-on-han-characters-education-and-research/;22;8;2018
The Society for the Study of Indigenous Languages of the Americas Winter Meeting 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322916;New York City, NY;3;0;2019;6;0;2019;Anthropological Linguistics, General Linguistics, Genetic Classification, Language Documentation, Typology;http://ssila.org/meetings/winter-2019/;31;6;2018
Workshop: Multilingualism, Contact and Documenting Endangered Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338196;New York, New York;6;0;2019;6;0;2019;Language Documentation;None;None;None;None
11th International Conference on Middle English;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=315817;Florence;5;1;2019;8;1;2019;Historical Linguistics;http://www.icome11.unifi.it;15;7;2018
18th SLAT Interdisciplinary Roundtable;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352076;Tucson;8;1;2019;9;1;2019;Applied Linguistics, General Linguistics, Language Acquisition;https://uarizona.co1.qualtrics.com/jfe/form/SV_9tSCYtWpHaYm5r7;18;10;2018
1st FARMM Challenge Formal Approaches to Romance Microvariation and Microcontact;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342436;Barcelona;15;1;2019;15;1;2019;Linguistic Theories, Morphology, Phonology, Syntax;http://formalmicrovariati.wixsite.com/farm;30;10;2018
29th Annual Graduate and Professional Symposium on Hispanic and Luso-Brazilian Literature, Language and Culture:;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356476;Tucson, AZ;22;1;2019;23;1;2019;Applied Linguistics, General Linguistics, Language Documentation, Psycholinguistics, Sociolinguistics;https://spanish.arizona.edu/graduate/seminar;23;11;2018
2nd International Cyprus Undergraduate Linguistics Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345436;Nicosia;16;1;2019;17;1;2019;Applied Linguistics, General Linguistics, Linguistic Theories;https://culc.ucy.ac.cy/;7;11;2018
3rd Workshop on the Use of Computational Methods in the Study of Endangered Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334236;Honolulu, Hawai'i;26;1;2019;27;1;2019;Applied Linguistics, Computational Linguistics, Language Documentation, Lexicography, Text/Corpus Linguistics;https://computel-workshop.org/computel-3/;22;9;2018
40th Annual Southwest Popular/American Culture Association;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342856;Albuquerque, NM;20;1;2019;23;1;2019;General Linguistics;http://www.southwestpca.org;1;10;2018
45th Incontro di Grammatica Generativa;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347536;Padova;21;1;2019;23;1;2019;Applied Linguistics, General Linguistics, Historical Linguistics, Language Acquisition, Psycholinguistics;None;1;11;2018
4th International Conference ‚«òFrom Theory to Practice in Language for Specific Purposes‚«∏;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335616;Zagreb;21;1;2019;23;1;2019;Applied Linguistics;https://pubweb.carnet.hr/lspconferencezagreb/;1;11;2018
4th Intonation Workshop;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348016;Toronto, ON;15;1;2019;15;1;2019;Phonetics, Phonology;https://uoftintonationworkshop.weebly.com;30;10;2018
4th Workshop on Turkic and Languages in Contact with Turkic;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340417;New York, New York;16;1;2019;17;1;2019;General Linguistics;https://wp.nyu.edu/tuworkshop4/;20;9;2018
5th International Conference on the Teaching of French;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330116;San Juan;28;1;2019;2;2;2019;Applied Linguistics;http://appfpuertorico.org;15;8;2018
6th National Symposium on Spanish as a Heritage Language;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329896;McAllen, Texas;21;1;2019;23;1;2019;Applied Linguistics, Discourse Analysis, General Linguistics, Language Acquisition, Sociolinguistics;http://nsshl2019.weebly.com;15;10;2018
7th International Conference on Endangered and Lesser Known Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329977;kolkata;20;1;2019;23;1;2019;Language Documentation;https://sites.google.com/jadavpuruniversity.in/elkl7ju/invited-talksworskhop;15;7;2018
AISV Conference 2019: Audio Archives at the Crossroads of Speech Sciences, Digital Humanities and Digital Heritage;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338396;Arezzo;14;1;2019;16;1;2019;Discourse Analysis, Language Documentation, Phonetics, Sociolinguistics, Text/Corpus Linguistics;https://www.aisv.it/aisv2019/en/;25;8;2018
AItLA 2019: Minority Languages Between Localism and Globalization;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335976;Cagliari;21;1;2019;23;1;2019;Applied Linguistics;https://aitla2019.rhesis.it/;30;6;2018
American Association for the Advancement of Science;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347176;Washington DC;14;1;2019;17;1;2019;General Linguistics;https://www.aaas.org/;19;9;2018
Applied Winter Linguistics Conference 2019 (ALWC);https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345456;Binghamton, New York;9;1;2019;9;1;2019;Applied Linguistics;http://www.nystesol.org/ALWC2019/;6;10;2018
Australian Humour Studies Network conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326337;Melbourne, Victoria;6;1;2019;8;1;2019;Discourse Analysis;http://sydney.edu.au/humourstudies/events/index.shtml;31;6;2018
BLS Workshop: Countability Distinctions;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350476;Berkeley, CA;8;1;2019;9;1;2019;Language Acquisition, Psycholinguistics, Semantics, Syntax;http://linguistics.berkeley.edu/bls/;30;10;2018
ConSOLE XVII 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332316;Berlin;21;1;2019;23;1;2019;General Linguistics;https://sites.google.com/view/console2019/;30;8;2018
Corpora for Language and Aging Research 4: Interaction, Methods, and Positions;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332216;Helsinki;27;1;2019;1;2;2019;Discourse Analysis, Pragmatics, Psycholinguistics, Sociolinguistics, Text/Corpus Linguistics;http://www.everett-corpora.org;30;5;2018
Crossing the Border between Spanish and English: Current issues, future perspectives, linguistic and literary insights;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331716;Ghent;5;1;2019;6;1;2019;General Linguistics, Ling &amp, Literature, Sociolinguistics, Text/Corpus Linguistics;http://www.cros.ugent.be/en/cros-2019-conference/;30;8;2018
Explanation and Prediction in Linguistics. Formalist and Functionalist Approaches;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352716;Heidelberg, Baden-WØÄrttemberg;13;1;2019;14;1;2019;General Linguistics, Language Acquisition, Linguistic Theories, Morphology, Syntax;None;None;None;None
First Conference of Indonesian Community for Forensic Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355396;Pekanbaru, Riau Province;9;1;2019;9;1;2019;Applied Linguistics, Discourse Analysis, Forensic Linguistics;None;None;None;None
Giornate di Studi Scientifici sul Linguaggio II - 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354716;Rovereto (TN);11;1;2019;12;1;2019;Cognitive Science, Computational Linguistics, General Linguistics, Neurolinguistics, Psycholinguistics;https://sites.google.com/view/studi-sul-linguaggio2019/home;17;11;2018
Integration of Universities into International Academic Community: Tradition and Modern Tendencies;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341576;Ulyanovsk;14;1;2019;16;1;2019;General Linguistics;http://ulspu.ru/science/konferentsii;1;9;2018
International Conference on Hindi as a Second / Foreign Language;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=323776;Lisbon;6;1;2019;8;1;2019;None;https://ihclisbon.wordpress.com/;31;4;2018
International Conference on Indigenous Languages, Societies and Cultures of India;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343796;Hyderabad, Telangana;21;1;2019;22;1;2019;Anthropological Linguistics, Language Documentation, Translation;None;30;9;2018
"International Conference on Language Documentation &amp; Conservation";https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327796;Honolulu, Hawaiºài;28;1;2019;3;2;2019;Computational Linguistics, Language Documentation;http://icldc6.icldc-hawaii.org;31;7;2018
International Conference on Pluricentricity vs. Pluriareality - Models, Varieties, Approaches;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344116;MØÄnster;8;1;2019;10;1;2019;Sociolinguistics, Text/Corpus Linguistics;https://plur2019.wordpress.com/;31;11;2018
International Mother Language Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355036;Kitui County;20;1;2019;22;1;2019;Anthropological Linguistics, Applied Linguistics, General Linguistics, Language Documentation, Sociolinguistics;None;None;None;None
Language, Identity and Education in Multilingual Contexts;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=337856;York;14;1;2019;16;1;2019;Applied Linguistics, Language Acquisition, Neurolinguistics, Psycholinguistics, Sociolinguistics;https://liemc19.wordpress.com;15;10;2018
Mobile Language Learning Experience;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331856;New York, NY;21;1;2019;22;1;2019;Applied Linguistics, Computational Linguistics;None;None;None;None
Multimodale Kommunikation in den Hypermedien - Herausforderungen fØÄr die Deutschdidaktik;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334676;Bochum;6;1;2019;8;1;2019;Applied Linguistics;http://staff.germanistik.rub.de/mkh2019/;1;9;2018
National Conference on New Trends in Applied Linguistics and Translation Studies;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335236;Baharestan, Isfahan;21;1;2019;21;1;2019;Applied Linguistics, Translation;http://www.shbuconf.ir/fa/;7;8;2018
Natural Language Processing in Artificial Intelligence 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346376;Prague;19;1;2019;21;1;2019;Computational Linguistics;http://www.icaart.org/NLPinAI.aspx;20;11;2018
Spanish Linguistics in North Carolina 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341716;Chapel Hill, NC;9;1;2019;9;1;2019;General Linguistics;http://slinki2019unc.web.unc.edu/;15;10;2018
Specialised Discourse and Multimedia: Linguistic features and translation issues;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324217;Lecce;14;1;2019;16;1;2019;Translation;https://specialiseddiscourse.wixsite.com/2019;10;8;2018
Task-based Teaching and the Place of Grammar in Secondary-School Foreign-Language Classes : Finding a Common Ground;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325096;Paris Nanterre;8;1;2019;9;1;2019;Applied Linguistics, Language Acquisition;None;15;6;2018
Texas Linguistics Society;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344736;Austin, Texas;22;1;2019;24;1;2019;General Linguistics, Language Documentation, Linguistic Theories, Pragmatics, Typology;http://tls.ling.utexas.edu;16;10;2018
The University of Alabama Languages Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343616;Tuscaloosa, AL;8;1;2019;9;1;2019;Anthropological Linguistics, General Linguistics, Historical Linguistics, Language Acquisition, Sociolinguistics;http://ualc.as.ua.edu;20;10;2018
Time and Temporality in the Asian and European Modernity;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325776;Hyderabad, South India;15;1;2019;17;1;2019;Anthropological Linguistics, Ling &amp, Literature, Philosophy of Language;http://www.efluniversity.ac.in/openfile1.php?f=158;18;5;2018
Transdisciplinary Approaches to Language Variation 2;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345496;Limassol;15;1;2019;16;1;2019;Cognitive Science, Linguistic Theories, Neurolinguistics, Psycholinguistics, Sociolinguistics;None;7;11;2018
Workshop in Cognitive Approaches in Language Learning and Bilingualism;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317076;University of Gothenburg;7;1;2019;8;1;2019;Language Acquisition;http://sprak.gu.se/forskning/konferenser/cognitive-approaches-in-language-learning-and-bilingualism;None;None;None
XXXIX International VAKKI Symposium;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332516;Vaasa;7;1;2019;8;1;2019;Applied Linguistics, Discourse Analysis, Pragmatics, Sociolinguistics, Translation;https://www.univaasa.fi/en/sites/vakki/symposia/symposium2019/;3;11;2018
12th Toronto Undergraduate Linguistics Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355356;Toronto;8;2;2019;10;2;2019;General Linguistics;http://slugs.sa.utoronto.ca/tulcon12/;5;0;2019
16th Workshop in General Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352936;Madison, WI;30;2;2019;31;2;2019;General Linguistics;https://linguistlist.org/easyabs/WIGL16;31;0;2019
20th Szklarska Por◊∏ba Workshop on the Roots of Pragmasemantics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353976;Szklarska Por◊∏ba;1;2;2019;4;2;2019;Computational Linguistics, General Linguistics, Pragmatics, Psycholinguistics, Semantics;https://sites.google.com/view/szklarskaporeba20/welcome;16;11;2018
22nd Annual Ohio State University Congress on Hispanic and Lusophone Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351716;Columbus, Ohio;29;2;2019;30;2;2019;General Linguistics, Historical Linguistics, Psycholinguistics, Sociolinguistics;https://sppo.osu.edu/annual-symposium;3;1;2019
25th Annual University of Texas Arlington Students Conference of Linguistics and TESOL;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353516;Arlington, TX;1;2;2019;2;2;2019;Applied Linguistics, General Linguistics, Historical Linguistics, Sociolinguistics;http://www.uta.edu/linguistics/current-students/lingua/conference/25-utascilt-2019/index.php;20;11;2018
2nd International Conference on Bilingualism;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325456;University of Malta Valletta Campus;25;2;2019;27;2;2019;Applied Linguistics, Discourse Analysis, Language Acquisition, Sociolinguistics, Translation;https://www.um.edu.mt/events/bilingualism2019;31;9;2018
2nd International Conference on Theoretical East Asian Psycholinguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345556;Tsinghua University, Beijing;16;2;2019;17;2;2019;Language Acquisition, Linguistic Theories, Psycholinguistics;https://icteap2019.github.io/2018/09/cfp/;10;11;2018
"2nd Modern Linguistics &amp; Language Didactics Conference - Focus: Grammaticality Judgments &amp; Language Awareness";https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332376;Bochum, NRW;28;2;2019;29;2;2019;Applied Linguistics;http://ling.uni-konstanz.de/pages/home/trotzke/Website/LiDi/LiDi.html;30;9;2018
32nd CUNY Conference on Human Sentence Processing;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349576;Boulder, Colorado;29;2;2019;31;2;2019;Applied Linguistics, Cognitive Science, Computational Linguistics, Linguistic Theories, Psycholinguistics;https://www.colorado.edu/event/cuny2019/;10;11;2018
41st Annual Meeting of the Deutsche Gesellschaft fØÄr Sprachwissenschaft;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331396;Bremen;6;2;2019;8;2;2019;General Linguistics;http://www.dgfs2019.uni-bremen.de/;15;7;2018
43rd Annual Penn Linguistics Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347996;Philadelphia, PA;22;2;2019;24;2;2019;General Linguistics;https://www.ling.upenn.edu/Events/PLC;27;10;2018
4th International Conference: The Magic of Innovation: Integrative Trends in Linguistics and Foreign Language Teaching;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340616;Moscow;22;2;2019;23;2;2019;Applied Linguistics, Discourse Analysis, General Linguistics, Text/Corpus Linguistics, Translation;None;None;None;None
50 Jahre Speech Acts ‚«í Bilanz und Perspektiven;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331196;Bremen;5;2;2019;5;2;2019;Discourse Analysis, History of Linguistics, Pragmatics, Semantics, Sociolinguistics;http://alp-verein.de/jahrestagung;9;8;2018
6th Scarborough Undergraduate Linguistics Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356536;Toronto, Ontario;1;2;2019;1;2;2019;General Linguistics;https://www.utsc.utoronto.ca/cfl/6th-scarborough-undergraduate-linguistics-conference-sulc;20;0;2019
7th NTU Postgraduate Conference on Teaching Chinese as a Second Language;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336676;Taipei;23;2;2019;23;2;2019;Applied Linguistics, Discourse Analysis, General Linguistics, Language Acquisition, Ling &amp, Literature;None;14;9;2018
8th Annual Hispanic and Luso-Brazilian Linguistics Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354776;Tempe, Arizona;29;2;2019;30;2;2019;Applied Linguistics, General Linguistics, Language Acquisition, Phonetics, Sociolinguistics;https://sites.google.com/asu.edu/8thhispanicluso-brazilianlingu/home?authuser=0;20;0;2019
AESLA International Conference ‚«í University of Valladolid (Spain): Bilingualism and Languages in Contact;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335736;Valladolid;27;2;2019;29;2;2019;General Linguistics;https://aesla2019.uva.es/en/;29;9;2018
Apollonius and Priscian Colloquium Transmission, Translation, Tradition: History of Reception;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330496;Bordeaux;21;2;2019;23;2;2019;History of Linguistics;None;20;10;2018
Applied Linguistics and Language Teaching International Conference and Exhibition 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353356;Dubai;7;2;2019;9;2;2019;Applied Linguistics;None;None;None;None
BAAL TEA SIG Conference 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343356;London;29;2;2019;29;2;2019;Applied Linguistics;None;None;None;None
